index,Company,Recommendations
24,ADANIENT,2.0
30,ADFFOODS,2.0
44,AHLUCONT,1.6
63,ALLCARGO,1.5
68,ALPHAGEO,2.0
86,APARINDS,1.4
100,ARCOTECH,2.0
137,ATULAUTO,1.8
155,BAJAJFINSV,2.0
181,BBL,2.0
217,BLISSGVS,2.0
249,CANTABIL,2.0
264,CENTENKA,2.0
279,CHEMBOND,2.0
282,CHOLAFIN,1.8
287,CINELINE,2.0
292,CLNINDIA,1.0
301,CONFIPET,2.0
318,CUB,1.6
341,DECCANCE,1.8
377,DTIL,1.6
380,DWARKESH,2.0
401,EMAMIPAP,2.0
421,EVEREADY,1.5
425,EXIDEIND,1.8
444,FMGOETZE,2.0
446,FORCEMOT,2.0
457,GALLANTT,2.0
487,GILLETTE,1.0
521,GRANULES,1.7
522,GRAPHITE,2.0
528,GREENPLY,1.8
584,HINDALCO,1.7
630,IGARASHI,2.0
644,INDHOTEL,2.0
694,IVC,2.0
715,JHS,1.0
726,JKCEMENT,1.8
746,JUBILANT,1.8
777,KENNAMET,2.0
797,KOHINOOR,2.0
822,LAMBODHARA,2.0
845,LUMAXIND,1.7
884,MANINFRA,2.0
889,MARKSANS,2.0
901,MBLINFRA,1.0
924,MIRZAINT,1.5
927,MMP,1.9
953,MUNJALAU,2.0
1004,NILKAMAL,1.5
1038,ONMOBILE,2.0
1070,PATELENG,2.0
1102,PNBGILTS,2.0
1105,PNCINFRA,1.9
1111,POLYPLEX,2.0
1127,PRECWIRE,2.0
1132,PRESTIGE,1.8
1161,RAMCOIND,2.0
1180,RELINFRA,2.0
1189,RICOAUTO,1.7
1205,RPPINFRA,1.5
1246,SAREGAMA,1.5
1260,SCI,1.7
1347,SPICEJET,1.6
1353,SREINFRA,1.5
1379,SUNDARMFIN,1.9
1389,SUPPETRO,1.0
1392,SUPREMEINF,2.0
1437,TCPLPACK,2.0
1470,TINPLATE,2.0
1490,TRIL,1.5
1527,USHAMART,4.0